Gene,TE_t0,TE_t1,TE_t2,cluster
SMARCA4,1.05532795038832,-0.0588480662638987,0.341056769084652,2
TIAL1,1.05384776883835,-0.0152344576527903,0.306304438238236,2
PPP1R10,0.986998924357138,0.0397999927091192,0.34143679415528105,2
ARSA,1.0305004813069,0.0178569363884783,0.267252578650101,2
TLN1,0.9877345933003778,0.0514112445248996,0.22575638948343502,2
LARP1,1.1772825003871399,-0.0408106768851645,0.263859035064669,2
SH3PXD2A,1.14630015076231,-0.192909992067286,0.21673006781000498,2
AFF1,1.22021757340552,-0.18028785260417104,0.30714718975172495,2
NUP214,1.13239413900897,-0.0822199709309725,0.6491228296702071,2
COASY,1.15647253225201,0.00401590589972564,0.572369820070569,2
RNF167,1.08377856065014,-0.0401841379845999,0.5277264809950639,2
TAF6,0.880021332781952,-0.19559019121447696,0.47123824188888497,2
ZBTB7A,0.9039461181080849,-0.14007742644187698,0.459706814125108,2
E2F3,0.8808030887964681,-0.0685465875632275,0.37094778504044207,2
SLC44A2,0.938402517988722,-0.09938405428016302,0.28671789703302003,2
SREBF1,0.877473803313362,-0.13756145366657702,0.288743679920247,2
UXS1,1.06556651037294,-0.21142493130689397,0.5767475504543461,2
BMPR2,0.970774794215105,-0.250351383377505,0.556629782887758,2
KHSRP,1.12058160002876,-0.15716935745389599,0.380996466112585,2
PRKD2,1.0501510752732401,-0.255955872924908,0.37692457642966204,2
EGR1,1.9233773039017998,-0.185068888339212,-0.0885530673612673,2
BAZ2A,1.09380332393616,-0.589902025342808,0.49777516321897797,2
AGPAT1,1.0569835290479301,-0.78406682442599,0.537960246988163,2
KIAA1522,1.15997421775293,-0.85162911896609,0.392344630576976,2
RIN3,1.1632994239398797,-0.8678109950041999,0.538079432455391,2
MAST3,1.39350433708405,-0.427513407638182,0.22929948174506698,2
EP400,1.3640341373879201,-0.626980705170051,0.433219116098045,2
CREBBP,1.21832216516654,-0.593251069367468,0.253979075694809,2
SETD1B,1.2985183560137301,-0.699904449994276,0.13867704943973,2
NCOA6,1.2827611145408302,-0.8329075065520022,0.24950553582874696,2
ARID1A,1.46811182352706,-0.6953372767840661,-0.135042579521524,2
EP300,1.12288287193202,-0.45188745258001395,0.0697103474315711,2
ULK1,1.02401530033975,-0.487130044701431,0.060456143486897006,2
ELMSAN1,0.896907352661986,-0.553116741812504,0.00658631143901367,2
SPPL3,0.8875120960895121,-0.696462558019739,0.0176020682388716,2
PHF12,0.900435160437274,-0.6427246985441011,0.0419136570176553,2
PER1,1.0672506825553398,-0.28108752143439597,-0.0460623995751308,2
DNAJC16,0.951205688906673,-0.15674540989171498,-0.0904194784006052,2
MKI67,1.01464948192036,-0.151231015958043,-0.130980255724936,2
TNS1,1.06268275590217,-0.5419247756996429,-0.213095400116765,2
SEMA4B,0.9659997664608391,-0.397490888023769,-0.217702320500452,2
LTBP3,1.00344430011427,-0.345263973770612,-0.311663398156002,2
PEAR1,1.25456324378593,-1.19626591780652,-0.22092065232610997,2
KDM6B,1.06546701039273,-1.22664730705177,0.0069286987395812,2
PRRC2A,0.599814763046609,-1.06329403041959,0.21745334321749601,2
PRDM2,0.8003933027463029,-0.9772727845033671,0.451812020617892,2
R3HDM1,0.50472562837278,-1.26591793762357,-0.0883349257628,2
CIC,0.697910053944411,-1.2101181998905801,0.0276974606812546,2
SRCAP,0.616317681794122,-1.32690643410118,0.0478013767807559,2
ATP11A,0.846583559267229,-0.944498783486665,-0.0344505404474521,2
ATP13A1,0.70044969631621,-0.794859485887999,-0.22913225535045198,2
PEAK1,0.487747773116628,-1.02152304313697,-0.279779897643207,2
ERN1,0.542165167694614,-0.886510044416375,-0.17983246829921695,2
IQSEC1,0.458687140719364,-0.8804249003845641,-0.18306520209514998,2
ZMIZ2,0.6340679652457409,-1.06668154151536,-0.0492900676250106,2
DOT1L,0.479388904419844,-1.1118405873856,-0.0596727540004004,2
ZNF628,0.515454873596921,-1.05909710790835,0.0145376515409047,2
PCIF1,0.5945515854933161,-0.900131981371634,-0.0673274166394899,2
RAI1,0.5904106913197579,-0.9206265432706259,0.0526642058776895,2
MAST4,0.462860634594111,-0.9692596823200519,-0.0509566834955488,2
PIP5K1C,0.392189246891854,-0.902942006816451,-0.0355586019454437,2
NECTIN1,2.42289992415569,0.608383560790526,1.67208503151811,2
ZMIZ1,2.7017143875077303,0.375834836738948,1.71314103940162,2
ZFP36L1,2.67730718505455,0.46763717619922496,1.9585100694872901,2
CHAMP1,2.7069490472139,1.15399261314607,2.03192940177405,2
SCAMP4,2.6835219398756602,0.806261877424376,1.96516990237856,2
BRD4,2.9176115786419903,0.8206094385734971,2.01583063947372,2
CBFA2T3,2.3834802231265098,1.13776375932155,2.1049786460515403,2
SRRM1,2.3476766270822202,1.09204537383424,1.93688787489675,2
B4GALT1,2.2972513261748397,1.03871504286003,1.78021162284745,2
TPP1,2.37152647993121,1.12869331334057,1.8062016792597602,2
CMBL,2.44193057177311,0.811484095492619,2.08614053887417,2
NFIC,2.48699681982813,0.825719414442555,2.03518929174278,2
MAP4,2.06301660858454,0.8079821641573629,2.0383074883556,2
APBB1IP,2.16706089312683,0.880128294045597,2.03775298618837,2
UBQLN2,1.93134509701048,0.7405145507774341,1.8529739178591,2
FHL3,1.8556050469468501,0.894316612523559,1.8761206799301398,2
SAP130,2.03924473982101,1.05187523323813,1.7163919186866101,2
CSF1R,2.05061485858772,0.906019229833903,1.82304886719405,2
CD44,2.0890003860494,1.2743059934203302,1.9634011002877803,2
FKBP5,2.08535074479868,1.2037352302368898,1.8487015223896501,2
PLK1,2.14100773409581,1.13936923322171,1.7970651893987302,2
PSME3,2.15360748339108,1.2372071729751102,1.7241452153000598,2
MBTPS2,2.13820505254077,1.22301993564169,1.75100487455569,2
MAPRE2,1.74060025216887,1.09971607799099,1.9398374545872,2
PRKCD,1.9206316168301298,1.1003117640925801,1.92719862609869,2
ACTB,1.89497754751997,1.17118685518103,2.00096211460232,2
EIF4EBP2,1.8145772178911699,1.17102029325649,1.95701489532305,2
NAF1,1.8429745950103402,1.11755191700571,1.7568471362948501,2
GRN,2.00256480750835,1.17669168439658,1.7250825077482599,2
PSAT1,1.92720790578026,1.23881666615646,1.74934260626449,2
DCAF7,1.97027289308227,1.1899561789866202,1.8316342886525903,2
CNDP2,1.9262553878296798,1.1858689177708799,1.82749356999035,2
ERP44,2.0325100370207,1.35092120883581,1.4004768655946398,2
HNRNPUL2,2.0861975550763603,1.15303238249427,1.34776302678853,2
TOP1,1.96192854815002,1.16615299190125,1.3609000021607398,2
USP14,1.99990569691403,1.1382873175051498,1.5104796650158998,2
CTSD,1.8732122869550702,1.04961127368909,1.5078210230395999,2
SPIN4,1.9213852799168603,1.06198294105886,1.46811219229556,2
KIT,1.91644851387065,1.07504887364862,1.42014546459537,2
RAB14,1.9365416774576598,1.38999813896378,1.5320853304740603,2
PPP6C,1.9289233068641698,1.3104920898847499,1.60791815442536,2
CIR1,1.8883255952297398,1.32706268521768,1.6501316235545098,2
PGRMC2,1.9744642175203702,1.4631258929263702,1.66897834879862,2
NOLC1,1.75258299889835,1.43763162024428,1.61849161277093,2
GORASP2,1.88354322301652,1.4496283141731499,1.60110285898355,2
RPA1,1.87768075553671,1.4599556370538798,1.5773044664443099,2
SNAP29,1.7672967382373101,1.3682376435994699,1.88797765817858,2
COPS6,1.75947945500695,1.35986787362838,1.9384884338808601,2
GOLPH3L,1.8614120364306,1.3028732727819299,1.7967748366543501,2
